+------+--------+--------+-------------+
| Year | Period | Value  |  Footnotes  |
+------+--------+--------+-------------+
| 2024 |  M08   | 34.80  | preliminary |
| 2024 |  M07   | 34.69  | preliminary |
| 2024 |  M06   | 34.80  |             |
| 2024 |  M05   | 34.62  |             |
| 2024 |  M04   | 34.69  |             |
| 2024 |  M03   | 34.50  |             |
| 2024 |  M02   | 34.52  |             |
| 2024 |  M01   | 34.56  |             |
| 2023 |  M12   | 34.09  |             |
| 2023 |  M11   | 33.93  |             |
| 2023 |  M10   | 34.16  |             |
| 2023 |  M09   | 33.82  |             |
| 2023 |  M08   | 33.58  |             |
| 2023 |  M07   | 33.82  |             |
| 2023 |  M06   | 33.31  |             |
| 2023 |  M05   | 33.36  |             |
| 2023 |  M04   | 33.75  |             |
| 2023 |  M03   | 33.22  |             |
| 2023 |  M02   | 33.18  |             |
| 2023 |  M01   | 33.40  |             |
| 2022 |  M12   | 32.80  |             |
| 2022 |  M11   | 32.65  |             |
| 2022 |  M10   | 32.83  |             |
| 2022 |  M09   | 32.42  |             |
| 2022 |  M08   | 32.17  |             |
| 2022 |  M07   | 32.11  |             |
| 2022 |  M06   | 31.85  |             |
| 2022 |  M05   | 32.19  |             |
| 2022 |  M04   | 32.00  |             |
| 2022 |  M03   | 31.77  |             |
| 2022 |  M02   | 31.69  |             |
| 2022 |  M01   | 31.95  |             |
| 2024 |  M08   | 1735.3 | preliminary |
| 2024 |  M07   | 1738.2 | preliminary |
| 2024 |  M06   | 1726.7 |             |
| 2024 |  M05   | 1696.6 |             |
| 2024 |  M04   | 1673.0 |             |
| 2024 |  M03   | 1665.8 |             |
| 2024 |  M02   | 1668.0 |             |
| 2024 |  M01   | 1660.5 |             |
| 2023 |  M12   | 1670.4 |             |
| 2023 |  M11   | 1677.6 |             |
| 2023 |  M10   | 1680.9 |             |
| 2023 |  M09   | 1670.9 |             |
| 2023 |  M08   | 1690.8 |             |
| 2023 |  M07   | 1692.9 |             |
| 2023 |  M06   | 1688.5 |             |
| 2023 |  M05   | 1652.1 |             |
| 2023 |  M04   | 1636.7 |             |
| 2023 |  M03   | 1625.7 |             |
| 2023 |  M02   | 1619.3 |             |
| 2023 |  M01   | 1614.9 |             |
| 2022 |  M12   | 1633.0 |             |
| 2022 |  M11   | 1632.7 |             |
| 2022 |  M10   | 1635.6 |             |
| 2022 |  M09   | 1624.9 |             |
| 2022 |  M08   | 1635.9 |             |
| 2022 |  M07   | 1633.9 |             |
| 2022 |  M06   | 1614.7 |             |
| 2022 |  M05   | 1585.1 |             |
| 2022 |  M04   | 1574.1 |             |
| 2022 |  M03   | 1560.2 |             |
| 2022 |  M02   | 1557.8 |             |
| 2022 |  M01   | 1554.7 |             |
| 2024 |  M07   |  38.5  | preliminary |
| 2024 |  M06   |  39.5  |             |
| 2024 |  M05   |  38.8  |             |
| 2024 |  M04   |  39.0  |             |
| 2024 |  M03   |  39.0  |             |
| 2024 |  M02   |  38.9  |             |
| 2024 |  M01   |  38.5  |             |
| 2023 |  M12   |  39.0  |             |
| 2023 |  M11   |  39.0  |             |
| 2023 |  M10   |  39.6  |             |
| 2023 |  M09   |  39.0  |             |
| 2023 |  M08   |  39.0  |             |
| 2023 |  M07   |  39.2  |             |
| 2023 |  M06   |  38.9  |             |
| 2023 |  M05   |  38.8  |             |
| 2023 |  M04   |  39.3  |             |
| 2023 |  M03   |  38.5  |             |
| 2023 |  M02   |  38.8  |             |
| 2023 |  M01   |  39.0  |             |
| 2022 |  M12   |  38.6  |             |
| 2022 |  M11   |  38.9  |             |
| 2022 |  M10   |  39.8  |             |
| 2022 |  M09   |  39.2  |             |
| 2022 |  M08   |  38.7  |             |
| 2022 |  M07   |  38.7  |             |
| 2022 |  M06   |  39.0  |             |
| 2022 |  M05   |  39.4  |             |
| 2022 |  M04   |  39.0  |             |
| 2022 |  M03   |  39.0  |             |
| 2022 |  M02   |  39.2  |             |
| 2022 |  M01   |  39.1  |             |
+------+--------+--------+-------------+
